user_id,content_id,watch_duration,completion_rate,pause_count,sessions_per_week,retained
U001,C001,42,93,2,4,true
U002,C002,18,45,5,2,false
U003,C001,50,100,1,6,true
U004,C003,27,68,3,3,false
U005,C002,39,87,2,5,true
U006,C004,12,30,6,1,false
U007,C003,46,95,1,5,true
U008,C005,33,74,4,3,true
U009,C004,21,52,5,2,false
U010,C005,55,98,0,7,true
U011,C006,,81,2,4,true
U012,C007,31,N/A,3,3,false
U013,C008,25,62,-2,2,no
U014,C009,61,96,1,9,YES
U015,C010,unknown,43,7,1,false
U016,C006,44,112,2,5,true
U017,C007,8,19,8,1,0
U018,C011,73,88,3,6,1
U019,C012,36,76,4,4,y
U020,C013,29,64,three,3,n
U020,C013,29,64,three,3,n
U021,C014,48,91,1,5,
U022,C015,-15,8,9,1,false
U023,C016,84,100,0,7,true
U024,C017,16,38,6,2,false
U025,C018,53,89,2,5,true
U026,C019,41,82,3,4,true
U027,C020,22,51,5,2,false
U028,C021,67,97,1,6,true
U029,C022,14,27,7,1,false
U030,C023,58,94,2,6,true
U031,C024,34,73,4,3,true
U032,C025,19,46,6,2,false
U033,C026,76,99,0,7,true
U034,C027,45,86,2,5,true
U035,C028,11,24,8,1,false
U036,C029,63,92,1,6,true
U037,C030,28,65,5,3,false
U038,C031,51,90,2,5,true
U039,C032,23,54,4,2,false
U040,C033,69,98,1,7,true
U041,C034,37,79,3,4,true
U042,C035,17,41,6,2,false
U043,C036,56,93,2,6,true
U044,C037,26,61,5,3,false
U045,C038,72,100,0,7,true
U046,C039,43,84,3,5,true
U047,C040,13,32,7,1,false
U048,C041,60,96,1,6,true
U049,C042,32,71,4,3,true
U050,C043,20,49,6,2,false
U051,C044,65,95,2,6,true
U052,C045,38,80,3,4,true
U053,C046,15,36,7,1,false
U054,C047,54,91,2,5,true
U055,C048,24,58,5,3,false
U056,C049,79,100,0,7,true
U057,C050,47,88,2,5,true
U058,C001,10,22,9,1,false
U059,C002,62,94,1,6,true
U060,C003,35,75,4,4,true
U061,C004,18,44,6,2,false
U062,C005,57,92,2,6,true
U063,C006,30,69,5,3,false
U064,C007,71,99,1,7,true
U065,C008,40,83,3,4,true
U066,C009,12,29,8,1,false
U067,C010,49,90,2,5," true "
U068,C011,27,63,5,3," FALSE "
U069,C012,1445,101,1,8,true
U070,C013,52,87,,5,true
